pA,pB,win
#14207,#39871,A
#14207,#51347,A
#39871,#32431,A
#14207,#56566,A
#51347,#40021,A
#32431,#89840,A
#39871,#45382,A
#56566,#95909,A
#14207,#83000,A
#40021,#99593,A
#51347,#16175,A
#32431,#28726,A
#89840,#17331,A
#45382,#88172,A
#39871,#51245,A
#16175,#37869,A
#28726,#30969,A
#89840,#18675,A
#56566,#58520,A
#83000,#76540,A
#40021,#31417,A
#51245,#84341,A
#65610,#30866,A
#36158,#48752,A
#62743,#39831,A
#19099,#91678,A
#97900,#53025,A
#15817,#99065,A
#86099,#78146,A
#83000,#76540,A
#17331,#88172,A
#40021,#30969,A
#14207,#16175,A
#28726,#18675,A
#51347,#37869,A
#95909,#51245,A
#13248,#30866,A
#39154,#97806,A
#39831,#66057,A
#19099,#27146,A
#93136,#53025,A
#37607,#99065,A
#86099,#81200,A
#45382,#83000,A
#17331,#31417,A
#32431,#40021,A
#14207,#89840,A
#99593,#18675,A
#51347,#56566,A
#58520,#51245,A
#13248,#65610,A
#81200,#78146,A
#45382,#76540,A
#88172,#31417,A
#32431,#30969,A
#89840,#16175,A
#99593,#28726,A
#37869,#56566,A
#95909,#58520,A
#39871,#84341,A
#48752,#19099,A
#48752,#30866,A
#19099,#61876,A
#30866,#34914,A
#48752,#37607,A
#19099,#39831,A
#61876,#36158,A
#34914,#86099,A
#30866,#65610,A
#48752,#62743,A
#37607,#78146,A
#39831,#97900,A
#19099,#97806,A
#36158,#13248,A
#61876,#81200,A
#78146,#27146,A
#39831,#99065,A
#97806,#53025,A
#34914,#93136,A
#65610,#66057,A
#30866,#39154,A
#48752,#91678,A
#81200,#15817,A
#62743,#66057,A
#27146,#91678,A
#97900,#93136,A
#37607,#15817,A
#61876,#34914,A
#28289,#24592,A
#24592,#54597,A
#28289,#93810,A
#24592,#37869,A
#57400,#37869,A
#24592,#28289,A
#54597,#95181,A
#86503,#66985,A
#69470,#98259,A
#75612,#97684,A
#33416,#69177,A
#91959,#87128,A
#57576,#49117,A
#79514,#72296,A
#99353,#65444,A
#76540,#21226,A
#28289,#57400,A
#24592,#37869,A
#93810,#95181,A
#66985,#82512,A
#60432,#69470,A
#88172,#75612,A
#65333,#76542,A
#33416,#30969,A
#91959,#24371,A
#92240,#49117,A
#16175,#79514,A
#25014,#99353,A
#76540,#74686,A
#92240,#33416,A
#33416,#65333,A
#92240,#57447,A
#65333,#76540,A
#33416,#16175,A
#92240,#74686,A
#57447,#60432,A
#76540,#24371,A
#65333,#21226,A
#33416,#25014,A
#16175,#69470,A
#92240,#79514,A
#74686,#91959,A
#60432,#49117,A
#57447,#76542,A
#69470,#57576,A
#16175,#98259,A
#92240,#97684,A
#79514,#66985,A
#74686,#65444,A
#91959,#30969,A
#49117,#88172,A
#60432,#72296,A
#76540,#86503,A
#24371,#75612,A
#21226,#82512,A
#65333,#87128,A
#25014,#52487,A
#76542,#69177,A
#57447,#99353,A
#54597,#95181,A
#28289,#57400,A
#28289,#37869,A
#24592,#57400,A
#93810,#54597,A
#82512,#86503,A
#60432,#98259,A
#88172,#97684,A
#69177,#30969,A
#24371,#87128,A
#92240,#57576,A
#16175,#72296,A
#65444,#25014,A
#74686,#21226,A
#57447,#52487,A
#71953,#34914,A
#41850,#76768,A
#34957,#19099,A
#96374,#57795,A
#98259,#27154,A
#41285,#17944,A
#35112,#86503,A
#41195,#97062,A
#27342,#15817,A
#85525,#43386,A
#48890,#11934,A
#59672,#85914,A
#90676,#42772,A
#84593,#79983,A
#33583,#90854,A
#92264,#81020,A
#60523,#21847,A
#63279,#43130,A
#36306,#27578,A
#71953,#40161,A
#41850,#42493,A
#34957,#25860,A
#95180,#96374,A
#50857,#98259,A
#17944,#65461,A
#35112,#72296,A
#40007,#41195,A
#27342,#87128,A
#38864,#85525,A
#73699,#11934,A
#57576,#59672,A
#90676,#32810,A
#90854,#86350,A
#39007,#81020,A
#69929,#21847,A
#63264,#43130,A
#97153,#36306,A
#40161,#34914,A
#42493,#76768,A
#19099,#25860,A
#95180,#57795,A
#50857,#27154,A
#65461,#41285,A
#72296,#86503,A
#96474,#38534,A
#40007,#97062,A
#87128,#15817,A
#38864,#43386,A
#73699,#48890,A
#57576,#85914,A
#42772,#32810,A
#33583,#86350,A
#39007,#92264,A
#69929,#60523,A
#63279,#63264,A
#27578,#97153,A
#74515,#49240,A
#63279,#69929,A
#63279,#27578,A
#69929,#74515,A
#27578,#42772,A
#63279,#92264,A
#69929,#39007,A
#74515,#79983,A
#27578,#49240,A
#42772,#84593,A
#92264,#33583,A
#63279,#60523,A
#69929,#63264,A
#39007,#90854,A
#79983,#90676,A
#74515,#36306,A
#60523,#21847,A
#63264,#81020,A
#90854,#86350,A
#49240,#43130,A
#42772,#32810,A
#36306,#97153,A
#80678,#97900,A
#80678,#69929,A
#97900,#82512,A
#80678,#78146,A
#69929,#32810,A
#97900,#38016,A
#82512,#84593,A
#84593,#63264,A
#69929,#63264,A
#97900,#84593,A
#32810,#78146,A
#27578,#42772,A
#57576,#50857,A
#95180,#90676,A
#48752,#15075,A
#63354,#13617,A
#32431,#19358,A
#69929,#38016,A
#80678,#97900,A
#82512,#78146,A
#50857,#42772,A
#57576,#27578,A
#79514,#95180,A
#60432,#15075,A
#92240,#13617,A
#24592,#19358,A
#80678,#84593,A
#82512,#32810,A
#50857,#27578,A
#70637,#49363,A
#49363,#69638,A
#70637,#97410,A
#49363,#11025,A
#97410,#50001,A
#92240,#79514,A
#79514,#60432,A
#92240,#57576,A
#60432,#63354,A
#79514,#50857,A
#57576,#95180,A
#92240,#48752,A
#63354,#15075,A
#50857,#90676,A
#79514,#42772,A
#95180,#27578,A
#48752,#13617,A
#24592,#19358,A
#19358,#51347,A
#38016,#63264,A
#57576,#42772,A
#79514,#90676,A
#60432,#48752,A
#92240,#63354,A
#30379,#51347,A
#24592,#32431,A
#57400,#99166,A
#99166,#88504,A
#57400,#83000,A
#88504,#86099,A
#83000,#63883,A
#28301,#59009,A
#59009,#72296,A
#28301,#34957,A
#59009,#65461,A
#56025,#98777,A
#21420,#36387,A
#10074,#19305,A
#19305,#25860,A
#10074,#77391,A
#19305,#44795,A
#25860,#53404,A
#77391,#94080,A
#10074,#92264,A
#92264,#65108,A
#14207,#84341,A
#84341,#19358,A
#14207,#45382,A
#19358,#49117,A
#84341,#87128,A
#14207,#74686,A
#45382,#71953,A
#49117,#40007,A
#87128,#16175,A
#84341,#86503,A
#14207,#49321,A
#74686,#98259,A
#71953,#93748,A
#84847,#38016,A
#38016,#22224,A
#84847,#80468,A
#22224,#85914,A
#77391,#92264,A
#94080,#65108,A
#53404,#44795,A
#72296,#34957,A
#16175,#49321,A
#49117,#86503,A
#93748,#98259,A
#71953,#87128,A
#25860,#77391,A
#19305,#94080,A
#10074,#53404,A
#72296,#59009,A
#74686,#16175,A
#14207,#49117,A
#84341,#93748,A
#19358,#87128,A
#25860,#92264,A
#19305,#65108,A
#10074,#44795,A
#34957,#59009,A
#28301,#65461,A
#74686,#49321,A
#14207,#86503,A
#84341,#98259,A
#19358,#71953,A
#45382,#40007,A
#99166,#86099,A
#88504,#63883,A
#98777,#36387,A
#69638,#97410,A
#49363,#50001,A
#38016,#80468,A
#99166,#83000,A
#57400,#88504,A
#69638,#11025,A
#70637,#50001,A
#38016,#22224,A
#83000,#86099,A
#57400,#63883,A
#56025,#21420,A
#97410,#11025,A
#70637,#49363,A
#80468,#22224,A
#84847,#85914,A
#65461,#95180,A
#65461,#35112,A
#95180,#50857,A
#65461,#96374,A
#35112,#40982,A
#95180,#73699,A
#50857,#19287,A
#65461,#57576,A
#35112,#40007,A
#95180,#71953,A
#50857,#59672,A
#96374,#41850,A
#40982,#34957,A
#73699,#41195,A
#19287,#42493,A
